Clock Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Depth (m),Heading (degrees),Velocity (km/h),,Starting Latitude,Starting Longitude
18:45:34,13,48,-75,-735.49875,-764.9187,-8933.85815,0,196,3.9,,,
18:45:35,13,9,-18,-1755.39035,-813.95195,-9963.5564,0,197,3.4,,,
18:45:35,-63,-9,-26,-1902.4901,-745.3054,-8610.2387,0,197,2.8,,,
18:45:36,-18,12,5,-1618.09725,-706.0788,-9610.517,0,199,2.5,,,
18:45:36,-53,-20,-41,-1608.2906,-872.79185,-9051.53795,0,198,2.9,,,
18:45:37,24,-2,20,-1421.96425,-1108.15145,-9728.1968,0,199,2.8,,,
18:45:37,-12,-18,-51,-1137.5714,-1500.41745,-10257.7559,0,198,2.6,,,
18:45:38,22,2,-114,-1794.61695,-902.2118,-9502.64385,0,197,1.8,,,
18:45:38,-34,-18,-9,-2167.26965,-1039.5049,-9483.03055,0,198,1.2,,,
18:45:39,-45,-16,-2,-2294.7561,-1147.37805,-9208.44435,0,198,0.8,,,
18:45:39,-24,-6,-5,-2412.4359,-794.33865,-9267.28425,0,199,0.8,,,
18:45:40,-30,53,8,-1980.9433,-1196.4113,-9208.44435,0,200,1.1,,,
18:45:40,-16,-10,-10,-2108.42975,-284.39285,-9022.118,0,201,1.5,,,
18:45:41,55,12,-2,-1843.6502,-1098.3448,-9973.36305,0,202,1.9,,,
18:45:41,9,-18,-1,-1549.4507,-764.9187,-10287.17585,0,203,1.6,,,
18:45:42,-30,0,14,-2098.6231,-451.1059,-10042.0096,0,205,1.1,,,
18:45:42,-26,17,12,-1618.09725,-1265.05785,-9777.23005,0,206,0.5,,,
18:45:43,4,-21,-68,-1706.3571,-961.0517,-9433.9973,0,206,0.4,,,
18:45:43,-17,-8,-55,-1363.12435,-813.95195,-8865.2116,0,206,0.2,,,
18:45:44,-99,-28,-509,-1470.9975,-941.4384,-9826.2633,0,195,1,,,
18:45:44,-79,-67,-570,-1716.16375,-1010.08495,-10051.81625,0,180,1.5,,,
18:45:45,-57,-37,-456,-1176.798,-980.665,-9257.4776,0,166,1.9,,,
18:45:45,0,-17,-252,-1353.3177,-823.7586,-9600.71035,0,161,2.5,,,
18:45:46,-47,-66,-454,-1667.1305,-1529.8374,-9277.0909,0,153,2.4,,,
18:45:46,-33,-48,-386,-1725.9704,-1068.92485,-9620.32365,0,142,1.8,,,
18:45:47,-56,12,-188,-1323.89775,-853.17855,-9649.7436,0,136,1.4,,,
18:45:47,-42,40,26,-1804.4236,-853.17855,-9247.67095,0,138,1.6,,,
18:45:48,1,2,-123,-1578.87065,-902.2118,-9983.1697,0,137,1.3,,,
18:45:48,-84,-43,-279,-1490.6108,-1343.51105,-9620.32365,0,130,0.8,,,
18:45:49,-74,-53,-241,-1274.8645,-872.79185,-9404.57735,0,123,0.5,,,
18:45:49,6,28,-106,-1824.0369,-794.33865,-9463.41725,0,119,0.6,,,
18:45:50,-2,29,166,-1529.8374,-1088.53815,-9630.1303,0,123,1.1,,,
18:45:50,-19,26,100,-1863.2635,-1176.798,-9649.7436,0,127,1.5,,,
18:45:51,34,1,44,-1755.39035,-892.40515,-9698.77685,0,130,1.7,,,
18:45:51,11,9,-56,-2775.28195,-676.65885,-9149.60445,0,131,3.4,,,
18:45:52,-2,-1,9,-1421.96425,-961.0517,-9659.55025,0,132,3.1,,,
18:45:52,-5,0,-3,-1520.03075,-764.9187,-9639.93695,0,133,2.5,,,
18:45:53,-1,5,0,-1657.32385,-794.33865,-9639.93695,0,134,1.8,,,
18:45:53,-6,-2,6,-1392.5443,-990.47165,-9541.87045,0,135,0.9,,,
18:45:54,-7,0,-5,-1520.03075,-617.81895,-9639.93695,0,136,0.6,,,
18:45:54,-5,0,-5,-1549.4507,-843.3719,-9630.1303,0,137,1,,,
18:45:55,-4,0,-4,-1549.4507,-755.11205,-9639.93695,0,138,1.6,,,
18:45:55,-5,0,-3,-1539.64405,-755.11205,-9649.7436,0,139,2,,,
